rank,convergence_bonus,idf_floor,idf_threshold,conv_idf_power,min_idf_threshold,min_idf_penalty,recall_at_500,recall_at_100,found_at_500,found_at_100,total_gold
143,0.25,0.1,2.0,2.0,0.0,1.0,0.1937,0.0824,167,71,862
144,1.0,0.05,1.5,1.0,0.0,1.0,0.1937,0.0824,167,71,862
145,0.75,0.05,1.5,2.0,0.0,1.0,0.1937,0.0812,167,70,862
146,1.0,0.1,1.0,1.0,0.0,1.0,0.1937,0.0812,167,70,862
147,1.0,0.1,1.0,2.0,0.0,1.0,0.1937,0.0800,167,69,862
148,1.0,0.1,1.0,3.0,0.0,1.0,0.1937,0.0800,167,69,862
149,1.0,0.05,1.0,3.0,0.0,1.0,0.1926,0.0812,166,70,862
150,1.0,0.1,1.5,2.0,0.0,1.0,0.1926,0.0812,166,70,862
151,1.0,0.2,2.0,3.0,0.0,1.0,0.1914,0.0858,165,74,862
152,0.25,0.05,2.0,1.0,0.0,1.0,0.1914,0.0835,165,72,862
153,0.0,0.05,2.0,1.0,0.0,1.0,0.1914,0.0812,165,70,862
154,0.0,0.05,2.0,2.0,0.0,1.0,0.1914,0.0812,165,70,862
155,0.0,0.05,2.0,3.0,0.0,1.0,0.1914,0.0812,165,70,862
156,0.75,0.05,1.5,3.0,0.0,1.0,0.1914,0.0800,165,69,862
157,1.0,0.05,1.0,2.0,0.0,1.0,0.1914,0.0800,165,69,862
158,0.75,0.1,2.0,1.0,0.0,1.0,0.1903,0.0858,164,74,862
159,0.5,0.1,2.0,2.0,0.0,1.0,0.1903,0.0835,164,72,862
160,1.0,0.1,1.5,3.0,0.0,1.0,0.1903,0.0824,164,71,862
161,1.0,0.05,1.0,1.0,0.0,1.0,0.1903,0.0812,164,70,862
162,0.5,0.1,2.0,3.0,0.0,1.0,0.1891,0.0835,163,72,862
163,1.0,0.05,1.5,2.0,0.0,1.0,0.1891,0.0812,163,70,862
164,0.5,0.05,2.0,1.0,0.0,1.0,0.1879,0.0835,162,72,862
165,0.25,0.05,2.0,2.0,0.0,1.0,0.1868,0.0835,161,72,862
166,0.25,0.05,2.0,3.0,0.0,1.0,0.1868,0.0835,161,72,862
167,1.0,0.05,1.5,3.0,0.0,1.0,0.1868,0.0824,161,71,862
168,1.0,0.1,2.0,1.0,0.0,1.0,0.1868,0.0824,161,71,862
169,0.75,0.1,2.0,3.0,0.0,1.0,0.1845,0.0847,159,73,862
170,0.75,0.1,2.0,2.0,0.0,1.0,0.1845,0.0835,159,72,862
171,0.75,0.05,2.0,1.0,0.0,1.0,0.1833,0.0847,158,73,862
172,0.5,0.05,2.0,3.0,0.0,1.0,0.1821,0.0835,157,72,862
173,0.5,0.05,2.0,2.0,0.0,1.0,0.1821,0.0824,157,71,862
174,1.0,0.05,2.0,1.0,0.0,1.0,0.1798,0.0847,155,73,862
175,1.0,0.1,2.0,2.0,0.0,1.0,0.1787,0.0835,154,72,862
176,0.75,0.05,2.0,2.0,0.0,1.0,0.1775,0.0835,153,72,862
177,1.0,0.1,2.0,3.0,0.0,1.0,0.1763,0.0824,152,71,862
178,0.75,0.05,2.0,3.0,0.0,1.0,0.1740,0.0824,150,71,862
179,1.0,0.05,2.0,2.0,0.0,1.0,0.1694,0.0824,146,71,862
180,1.0,0.05,2.0,3.0,0.0,1.0,0.1613,0.0800,139,69,862
