coptic,greek
ⲁⲡⲟⲥⲱⲃⲉ,αποσοβεω
ⲁⲡⲟⲧⲁⲅⲏ,αποταγη
ⲁⲡⲟⲧⲁⲍⲉⲥⲑⲉ,αποτασσω
ⲁⲡⲟⲧⲁⲝⲓⲥ,αποταξις
ⲁⲡⲟⲧⲁⲥⲥⲉ,αποτασσω
ⲁⲡⲟⲧⲉⲗⲉⲥⲙⲁ,αποτελεσμα
ⲁⲡⲟⲧⲉⲗⲉⲥⲧⲓⲕⲟⲛ,αποτελεστικος
ⲁⲡⲟⲩ,απο
ⲁⲡⲟⲩⲕⲁⳇ,οποκαλαμος
ⲁⲡⲟⲫⲁⲛⲉ,αποφαινω
ⲁⲡⲟⲫⲁⲥⲓⲥ,αποφασις
ⲁⲡⲟⲭⲁⲣⲓⲍⲉ,αποχαριζομαι
ⲁⲡⲟⲭⲏ,αποχη
ⲁⲡⲟⲭⲱⲣⲓⲍⲉ,αποχωριζω
ⲁⲡⲟⲹⲣⲏⲧⲟⲥ,απορρητος
ⲁⲡⲣⲁⲕⲧⲟⲥ,απρακτος
ⲁⲡⲱⲫⲁⲛⲓⲁ,αποφανεια
ⲁⲣⲁ,αρα
ⲁⲣⲁⲃⲓⲕⲟⲛ,αραβικος
ⲁⲣⲁⲃⲟⲥ,αραβος
ⲁⲣⲁⲥⲑⲉ,αραομαι
ⲁⲣⲅⲟⲛ,αργος
ⲁⲣⲅⲟⲥ,αργος
ⲁⲣⲉⲓⲁ,αρειων
ⲁⲣⲉⲥⲕⲉ,αρεσκω
ⲁⲣⲉⲧⲏ,αρετη
ⲁⲣⲓⲑⲙⲓⲁ,αριθμιος
ⲁⲣⲓⲑⲙⲓⲟⲛ,αριθμιος
ⲁⲣⲓⲑⲙⲟⲥ,αριθμος
ⲁⲣⲓⲥⲧⲁ,αρισταω
ⲁⲣⲓⲥⲧⲟⲛ,αριστον
ⲁⲣⲓⲥⲧⲟⲣⲟⲭⲓⲁⲥ,αριστολοχεια
ⲁⲣⲕⲉⲓ,αρκεω
ⲁⲣⲕⲉⲩⲑⲓⲥ,αρκευθις
ⲁⲣⲕⲉⲩⲑⲟⲥ,αρκευθος
ⲁⲣⲕⲟⲥ,αρκος
ⲁⲣⲕⲧⲟⲥ,αρκτος
ⲁⲣⲙⲁⲣⲁ,αρμαλα
ⲁⲣⲙⲉⲛⲓⲟⲩ,αρμενιον
ⲁⲣⲛⲁ,αρνεομαι
ⲁⲣⲛⲏⲥⲓⲥ,αρνησις
ⲁⲣⲛⲓⲥⲑⲉ,αρνεομαι
ⲁⲣⲝ,αρξ
ⲁⲣⲣⲏⲧⲟⲛ,αρρητος
ⲁⲣⲣⲏⲧⲟⲥ,αρρητος
ⲁⲣⲥⲉⲛⲓⲕⲏ,αρσενικος
ⲁⲣⲥⲉⲛⲟⲅⲉⲛⲓⲁ,αρσενογενια
ⲁⲣⲥⲓⲛⲓⲕⲟⲛ,αρσενικον
ⲁⲣⲧⲉⲙⲉⲥⲓⲁⲥ,αρτεμισια
ⲁⲣⲧⲏⲙⲉⲥⲓⲁ,αρτεμισια
ⲁⲣⲧⲏⲣⲓⲁ,αρτηρια
ⲁⲣⲧⲓⲙⲉⲥⲓⲥ,αρτεμισια
