coptic_lemma,greek_form,count
ⲹⲏⲇⲏ,ⲹηδη,64
ⲡⲁⲣⲁⲇⲓⲇⲟⲩ,παραδιδου,63
ⲧⲁⲙⲉⲓⲟⲛ,ταμειον,63
ⲥⲕⲏⲛⲏ,σκηνη,63
ⲃⲁⲣⲃⲁⲣⲟⲥ,βαρβαροσ,63
ⲹⲟⲡⲗⲟⲛ,ⲹοπλον,62
ⲗⲟⲅⲟⲥ,λογοσ,62
ⲛⲏⲥⲧⲉⲓⲁ,νηστεια,62
ⲭⲣⲟⲛⲟⲥ,χρονοσ,62
ⲡⲣⲟⲫⲏⲧⲉⲩⲉ,προφητευε,62
ⲟⲩⲕ,ουκ,61
ⲗⲩⲡⲏ,λυπη,61
ⲇⲁⲓⲙⲱⲛⲓⲟⲛ,δαιμωνιον,61
ⲹⲁⲡⲗⲱⲥ,ⲹαπλωσ,60
ⲍⲱⲟⲛ,ζωον,60
ⲡⲟⲛⲏⲣⲓⲁ,πονηρια,60
ⲹⲟⲗⲱⲥ,ⲹολωσ,59
ⲡⲟⲣⲛⲏ,πορνη,59
ⲡⲁⲧⲣⲓⲁⲣⲭⲏⲥ,πατριαρχησ,58
ⲹⲁⲣⲙⲁ,ⲹαρμα,58
ⲑⲗⲓⲃⲉ,θλιβε,58
ⲃⲁⲡⲧⲓⲍⲉ,βαπτιζε,58
ⲯⲁⲗⲙⲟⲥ,ψαλμοσ,58
ⲹⲓⲙⲁⲣⲙⲉⲛⲏ,ⲹιμαρμενη,58
ⲕⲣⲓⲧⲏⲥ,κριτησ,57
ⲁⲅⲱⲛ,αγων,57
ⲁⲛⲁⲭⲱⲣⲉⲓ,αναχωρει,57
ⲃⲏⲙⲁ,βημα,57
ⲹⲉⲱⲥ,ⲹεωσ,57
ⲧⲉⲗⲱⲛⲏⲥ,τελωνησ,56
ⲡⲣⲁⲝⲓⲥ,πραξισ,55
ⲗⲓⲃⲁⲛⲟⲥ,λιβανοσ,55
ⲡⲉⲓⲣⲁⲥⲙⲟⲥ,πειρασμοσ,54
ⲉⲡⲓⲕⲁⲗⲉⲓ,επικαλει,54
ⲉⲣⲡⲓⲣⲁⲍⲓⲛ,ερπιραζιν,54
ⲃⲟⲏⲑⲓⲁ,βοηθια,53
ⲏⲣⲱⲇⲏⲥ,ηρωδησ,53
ⲉⲣⲭⲣⲉⲓⲁ,ερχρεια,53
ⲁⲹⲟⲣⲁⲧⲟⲥ,αⲹορατοσ,53
ⲡⲁⲣⲁⲅⲉ,παραγε,52
ⲗⲩⲭⲛⲓⲁ,λυχνια,52
ⲧⲟⲗⲙⲁ,τολμα,51
ⲕⲁⲓⲣⲟⲥ,καιροσ,51
ⲉⲓⲇⲱⲗⲟⲛ,ειδωλον,51
ⲡⲉⲓⲑⲉ,πειθε,51
ⲡⲁⲣⲁⲗⲏⲙⲡⲧⲏⲥ,παραλημπτησ,51
ⲇⲓⲁⲕⲱⲛ,διακων,50
ⲁⲛⲉⲭⲉ,ανεχε,49
ⲥⲡⲟⲩⲇⲏ,σπουδη,49
ⲇⲱⲣⲉⲁ,δωρεα,49
ⲃⲁⲡⲧⲓⲥⲙⲁ,βαπτισμα,49
ⲹⲟⲙⲟⲗⲟⲅⲉⲓ,ⲹομολογει,49
ⲇⲩⲛⲁⲙⲓⲥ,δυναμισ,49
ⲹⲩⲁⲕⲓⲛⲑⲓⲛⲟⲛ,ⲹυακινθινον,49
ⲡⲟⲣⲛⲟⲥ,πορνοσ,48
ⲇⲓⲁⲕⲟⲛⲉⲓ,διακονει,48
ⲧⲁⲫⲟⲥ,ταφοσ,48
ⲹⲁⲡ,ⲹαπ,48
ⲕⲏⲣⲩⲥⲥⲉ,κηρυσσε,48
ⲉⲡⲓⲇⲏ,επιδη,48
ⲁⲙⲉⲗⲉⲓ,αμελει,47
ⲥⲡⲉⲣⲙⲁ,σπερμα,47
ⲥⲧⲣⲁⲧⲉⲩⲙⲁ,στρατευμα,47
ⲛⲏⲥⲧⲉⲩⲉ,νηστευε,47
ⲥⲁⲗⲡⲓⲅⲝ,σαλπιγξ,47
ⲙⲁⲣⲧⲏⲣⲓⲟⲛ,μαρτηριον,47
ⲁⲏⲣ,αηρ,46
ⲭⲁⲓⲣⲉ,χαιρε,46
ⲟⲓⲕⲟⲛⲟⲙⲓⲁ,οικονομια,46
ⲁⲡⲟⲗⲟⲅⲓⲁ,απολογια,46
ⲧⲩⲣⲟⲥ,τυροσ,46
ⲁⲣⲓⲑⲙⲟⲥ,αριθμοσ,46
ⲉⲣⲡⲟⲣⲛⲉⲩⲓⲛ,ερπορνευιν,46
ⲁⲣⲓⲥⲧⲟⲛ,αριστον,45
ⲟⲓⲕⲟⲛⲟⲙⲟⲥ,οικονομοσ,45
ⲁⲛⲁⲅⲕⲁⲍⲉ,αναγκαζε,45
ⲹⲩⲡⲁⲣⲭⲟⲛⲧⲁ,ⲹυπαρχοντα,45
ⲓⲧⲁ,ιτα,45
ⲉⲛⲇⲩⲙⲁ,ενδυμα,45
ⲡⲗⲁⲥⲙⲁ,πλασμα,44
ⲗⲉⲓⲧⲟⲩⲣⲅⲟⲥ,λειτουργοσ,44
ⲇⲓⲁⲕⲟⲛⲓⲁ,διακονια,44
ⲧⲣⲟⲫⲏ,τροφη,44
ⲁⲛⲇⲣⲉⲁⲥ,ανδρεασ,44
ⲕⲁⲧⲁⲫⲣⲟⲛⲉⲓ,καταφρονει,44
ⲹⲩⲡⲟⲙⲓⲛⲉ,ⲹυπομινε,44
ⲛⲏⲫⲉ,νηφε,44
ⲁⲅⲱⲛⲓⲍⲉ,αγωνιζε,44
ⲟⲩⲉⲓⲛⲓⲛ,ουεινιν,44
ⲉⲣⲁⲅⲁⲡⲁⲛ,εραγαπαν,43
ⲥⲩⲣⲓⲁ,συρια,42
ⲑⲩⲥⲓⲁⲥⲧⲏⲣⲓⲟⲛ,θυσιαστηριον,42
ⲑⲉⲱⲣⲉⲓ,θεωρει,42
ⲁⲗⲏⲑⲉⲓⲁ,αληθεια,42
ⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ,γραμματευσ,41
ⲁⲥⲕⲏⲥⲓⲥ,ασκησισ,41
ⲛⲏⲥⲟⲥ,νησοσ,41
ⲉⲣⲇⲟⲕⲓⲙⲁⲍⲓⲛ,ερδοκιμαζιν,41
ⲹⲉⲗⲗⲏⲛ,ⲹελλην,40
ⲡⲁⲛⲧⲱⲥ,παντωσ,40
ⲗⲁⲙⲡⲁⲥ,λαμπασ,40
ⲧⲩⲣⲁⲛⲛⲟⲥ,τυραννοσ,40
ⲙⲟⲣⲫⲏ,μορφη,40
ⲹⲟⲣⲟⲙⲁ,ⲹορομα,40
ⲙⲏⲧⲓ,μητι,40
ⲡⲁⲣⲁⲇⲟⲥⲓⲥ,παραδοσισ,40
ⲉⲩⲥⲧⲁⲑⲓⲟⲥ,ευσταθιοσ,40
ⲉⲓⲧⲁ,ειτα,39
ⲡⲗⲁⲝ,πλαξ,39
ⲡⲟⲗⲓⲧⲉⲓⲁ,πολιτεια,39
ⲁⲣⲛⲁ,αρνα,39
ⲉⲡⲓⲑⲩⲙⲉⲓ,επιθυμει,39
ⲥⲕⲁⲛⲇⲁⲗⲟⲛ,σκανδαλον,39
ⲉⲣⲥⲕⲁⲛⲇⲁⲗⲓⲍⲉⲥⲑⲉ,ερσκανδαλιζεσθε,39
ⲫⲩⲁⲗⲏ,φυαλη,39
ⲉⲩⲅⲉ,ευγε,39
ⲧⲣⲟⲭⲟⲥ,τροχοσ,38
ⲡⲁⲣⲁⲡⲧⲱⲙⲁ,παραπτωμα,38
ⲕⲉⲗⲉⲩⲥⲓⲥ,κελευσισ,37
ⲕⲟⲗⲁⲍⲉ,κολαζε,37
ⲛⲟⲩⲥ,νουσ,37
ⲭⲣⲓⲁ,χρια,37
ⲉⲣⲉⲡⲓⲧⲓⲙⲁⲛ,ερεπιτιμαν,37
ⲡⲗⲁⲛⲏ,πλανη,36
ⲁⲡⲓⲥⲧⲟⲥ,απιστοσ,36
ⲡⲁⲣⲁⲃⲁⲥⲓⲥ,παραβασισ,36
ⲹⲁⲡⲁⲝ,ⲹαπαξ,36
ⲧⲉⲗⲓⲟⲥ,τελιοσ,36
ⲉⲣⲏⲙⲟⲥ,ερημοσ,36
ⲡⲣⲟⲉⲗⲑⲉ,προελθε,36
ⲓⲛⲁ,ινα,36
ⲥⲩⲛⲁⲝⲓⲥ,συναξισ,35
ⲥⲩⲅⲅⲉⲛⲏⲥ,συγγενησ,35
ⲭⲓⲱⲛ,χιων,35
ⲥⲕⲩⲗⲗⲉⲓ,σκυλλει,35
ⲁⲡⲁⲛⲧⲁ,απαντα,35
ⲉⲣⲅⲁⲧⲏⲥ,εργατησ,35
ⲁⲡⲉⲓⲗⲏ,απειλη,35
ⲕⲁⲛⲱⲛ,κανων,35
ⲛⲏⲥⲧⲓⲁ,νηστια,35
ⲗⲟⲓⲙⲟⲥ,λοιμοσ,35
ⲉⲣⲙⲉⲧⲁⲛⲟⲓⲛ,ερμετανοιν,35
ⲉⲭⲙⲁⲗⲱⲥⲓⲁ,εχμαλωσια,35
ⲡⲗⲁⲥⲥⲉ,πλασσε,34
ⲡⲉⲓⲣⲁⲍⲉ,πειραζε,34
ⲁⲓⲥⲑⲁⲛⲉ,αισθανε,34
ⲕⲩⲣⲓⲁⲕⲏ,κυριακη,34
ⲕⲁⲑⲁⲣⲓⲍⲉ,καθαριζε,34
ⲹⲏⲇⲟⲛⲏ,ⲹηδονη,34
ⲡⲁⲣⲁⲛⲟⲙⲟⲥ,παρανομοσ,34
ⲡⲗⲁⲛⲁ,πλανα,33
ⲧⲣⲓⲁⲥ,τριασ,33
ⲹⲁⲗⲁⲥⲥⲁ,ⲹαλασσα,33
ⲉⲣⲁⲡⲁⲛⲧⲁⲛ,εραπανταν,33
ⲉⲣⲙⲉⲗⲉⲧⲁⲛ,ερμελεταν,33
ⲹⲩⲡⲟⲧⲁⲥⲥⲉ,ⲹυποτασσε,32
ⲁⲗⲗⲟⲫⲩⲗⲟⲥ,αλλοφυλοσ,32
ⲥⲓⲇⲱⲛ,σιδων,32
ⲁⲡⲟⲗⲗⲱ,απολλω,32
ⲁⲥⲕⲟⲥ,ασκοσ,32
ⲕⲩⲕⲗⲟⲥ,κυκλοσ,32
ⲇⲓⲕⲁⲓⲟⲛ,δικαιον,31
ⲇⲟⲕⲓⲙⲁⲍⲉ,δοκιμαζε,31
ⲥⲩⲛⲁⲅⲉ,συναγε,31
ⲥⲡⲟⲩⲇⲁⲍⲉ,σπουδαζε,31
ⲕⲁⲕⲱⲥ,κακωσ,31
ⲭⲓⲗⲓⲁⲣⲭⲟⲥ,χιλιαρχοσ,31
ⲁⲕⲁⲑⲁⲣⲥⲓⲁ,ακαθαρσια,31
ⲕⲁⲧⲁⲕⲗⲩⲥⲙⲟⲥ,κατακλυσμοσ,31
ⲥⲕⲁⲛⲇⲁⲗⲓⲍⲉ,σκανδαλιζε,31
ⲙⲟⲛⲏ,μονη,31
ⲧⲓⲙⲟⲑⲉⲟⲥ,τιμοθεοσ,31
ⲉⲣⲡⲣⲟⲥⲉⲩⲭⲉⲥⲑⲉ,ερπροσευχεσθε,31
ⲁⲣⲓⲡⲣⲟⲫⲏⲧⲉⲩⲓⲛ,αριπροφητευιν,31
ⲧⲁⲅⲙⲁ,ταγμα,30
ⲹⲩⲡⲟⲕⲣⲓⲥⲓⲥ,ⲹυποκρισισ,30
ⲡⲣⲟⲫⲏⲧⲓⲁ,προφητια,30
ⲑⲉⲣⲁⲡⲉⲩⲉ,θεραπευε,30
ⲃⲁⲥⲁⲛⲓⲍⲉ,βασανιζε,30
ⲇⲓⲱⲅⲙⲟⲥ,διωγμοσ,30
ⲅⲛⲱⲙⲏ,γνωμη,30
ⲇⲓⲡⲛⲟⲛ,διπνον,30
ⲁⲅⲟⲣⲁ,αγορα,30
ⲥⲁⲗⲡⲓⲅⲅⲟⲥ,σαλπιγγοσ,30
ⲧⲁⲗⲁⲓⲡⲱⲣⲟⲥ,ταλαιπωροσ,29
ⲗⲟⲅⲓⲥⲙⲟⲥ,λογισμοσ,29
ⲁⲡⲁⲧⲁ,απατα,29
ⲟⲛⲧⲱⲥ,οντωσ,29
ⲹⲣⲱⲙⲁⲓⲟⲥ,ⲹρωμαιοσ,29
ⲕⲗⲏⲣⲟⲛⲟⲙⲟⲥ,κληρονομοσ,29
ⲙⲁⲥⲧⲓⲅⲝ,μαστιγξ,29
ⲡⲟⲣⲛⲉⲩⲉ,πορνευε,29
ⲙⲁⲕⲉⲇⲟⲛⲓⲁ,μακεδονια,29
ⲹⲩⲅⲟⲩⲙⲉⲛⲟⲥ,ⲹυγουμενοσ,29
ⲕⲁⲧⲁⲗⲁⲗⲓⲁ,καταλαλια,28
ⲙⲛⲧⲁⲅⲁⲑⲟⲥ,μνταγαθοσ,28
ⲡⲩⲣⲅⲟⲥ,πυργοσ,28
ⲁⲡⲟⲗⲗⲱⲛ,απολλων,28
ⲓⲟⲩⲇⲁⲓ,ιουδαι,28
ⲫⲑⲟⲛⲟⲥ,φθονοσ,28
ⲕⲗⲏⲣⲓⲕⲟⲥ,κληρικοσ,28
ⲟⲩ,ου,27
ⲡⲣⲟⲹⲁⲓⲣⲉⲥⲓⲥ,προⲹαιρεσισ,27
ⲡⲉⲗⲁⲅⲟⲥ,πελαγοσ,27
ⲁⲕⲁⲑⲁⲣⲧⲟⲥ,ακαθαρτοσ,27
ⲕⲧⲏⲥⲓⲥ,κτησισ,27
ⲁⲛⲁⲡⲁⲩⲥⲓⲥ,αναπαυσισ,27
ⲉⲫⲉⲥⲟⲥ,εφεσοσ,27
ⲛⲟⲏⲙⲁ,νοημα,27
ⲁⲇⲁⲙⲁⲥ,αδαμασ,27
ⲥⲁⲑⲉⲣⲓ,σαθερι,27
ⲕⲟⲕⲕⲟⲥ,κοκκοσ,27
ⲁⲛⲧⲓⲗⲟⲅⲓⲁ,αντιλογια,27
ⲛⲟⲙⲓⲙⲟⲛ,νομιμον,27
ⲥⲩⲛⲧⲉⲗⲉⲓⲁ,συντελεια,26
ⲹⲁⲓⲣⲉⲧⲓⲕⲟⲥ,ⲹαιρετικοσ,26
ⲕⲓⲃⲱⲧⲟⲥ,κιβωτοσ,26
