coptic,greek,pmi,count,source
ⲉⲃⲇⲟⲙⲁⲥ,εβδομασ,,,loanword_only
ⲉⲡⲓⲥⲧⲟⲗⲏ,επιστολη,,,loanword_only
ⲗⲓⲧⲣⲁ,λιτρα,,,loanword_only
ⲁⲛⲁⲅⲕⲁⲓⲟⲛ,αναγκαιον,,,loanword_only
ⲛⲏⲥⲧⲉⲩⲉ,νηστευε,,,loanword_only
ⲡⲗⲁⲥⲥⲉ,πλασσε,,,loanword_only
ⲙⲱⲛⲟⲛ,μωνον,,,loanword_only
ⲁⲥⲓⲁ,ασια,,,loanword_only
ⲁⲡⲟ,απο,,,loanword_only
ⲭⲙⲁⲗⲱⲥⲓⲁ,χμαλωσια,,,loanword_only
ⲭⲁⲙⲱⲥ,χαμωσ,,,loanword_only
ⲉⲣⲁⲓⲧⲉⲓⲛ,εραιτειν,,,loanword_only
ⲁⲣⲁⲃⲟⲥ,αραβοσ,,,loanword_only
ⲉⲣⲡⲓⲣⲁⲍⲓⲛ,ερπιραζιν,,,loanword_only
ⲇⲓⲁⲕⲣⲏⲥⲓⲥ,διακρησισ,,,loanword_only
ⲉⲣⲫⲟⲣⲉⲓⲛ,ερφορειν,,,loanword_only
ⲉⲓⲉ,ειε,,,loanword_only
ⲉⲫⲉⲥⲟⲥ,εφεσοσ,,,loanword_only
ⲭⲁⲗⲓⲛⲟⲥ,χαλινοσ,,,loanword_only
ⲉⲣⲡⲣⲟⲫⲏⲧⲏⲥ,ερπροφητησ,,,loanword_only
ⲭⲣⲱ,χρω,,,loanword_only
ⲁⲣⲉⲧⲏ,αρετη,,,loanword_only
ⲗⲩⲭⲛⲓⲁ,λυχνια,,,loanword_only
ⲫⲱⲣⲉⲓ,φωρει,,,loanword_only
ⲡⲁⲣⲁⲣⲟ,παραρο,,,loanword_only
ⲁⲛⲁⲥⲧⲣⲉⲫⲉ,αναστρεφε,,,loanword_only
ⲑⲁⲣⲉⲓ,θαρει,,,loanword_only
ⲙⲉⲧⲙⲟⲛⲁⲭⲟⲥ,μετμοναχοσ,,,loanword_only
ⲧⲉⲗⲱⲛⲓⲟⲛ,τελωνιον,,,loanword_only
ⲙⲉⲧⲟⲭⲟⲥ,μετοχοσ,,,loanword_only
ⲃⲁⲥⲓⲗⲓⲕⲟⲥ,βασιλικοσ,,,loanword_only
ⲙⲛⲧⲭⲣⲏⲥⲧⲟⲥ,μντχρηστοσ,,,loanword_only
ⲣⲥⲁⲣⲝ,ρσαρξ,,,loanword_only
ⲕⲁⲓⲥⲁⲣ,καισαρ,,,loanword_only
ⲑⲁⲗⲗⲁⲥⲥⲁ,θαλλασσα,,,loanword_only
ⲫⲩⲗⲁⲕⲧⲏⲣⲓⲟⲛ,φυλακτηριον,,,loanword_only
ⲉⲡⲓⲃⲟⲩⲗⲟⲥ,επιβουλοσ,,,loanword_only
ⲉⲝⲉⲇⲣⲁ,εξεδρα,,,loanword_only
ⲙⲉⲧⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ,μετπρεσβυτεροσ,,,loanword_only
ⲕⲁⲓⲡⲉⲣ,καιπερ,,,loanword_only
ⲥⲩⲛⲟⲩⲥⲓⲁ,συνουσια,,,loanword_only
ⲕⲁⲛⲓⲥⲕⲓⲟⲛ,κανισκιον,,,loanword_only
ⲡⲣⲟⲥⲟⲩⲥⲏⲟⲩ,προσουσηου,,,loanword_only
ⲉⲗⲁⲭⲓⲥⲧⲟⲛ,ελαχιστον,,,loanword_only
ⲉⲓⲣⲏⲛⲓⲕⲟⲥ,ειρηνικοσ,,,loanword_only
ⲡⲁⲣⲁⲃⲉⲛⲓⲛ,παραβενιν,,,loanword_only
ⲁⲑⲁⲛⲁⲥⲓⲁ,αθανασια,,,loanword_only
ⲡⲗⲁⲛⲏ,πλανη,,,loanword_only
ⲉⲛⲕⲱⲙⲓⲟⲛ,ενκωμιον,,,loanword_only
ⲡⲁⲧⲣⲓⲁ,πατρια,,,loanword_only
ⲙⲛⲧⲥⲧⲣⲁⲧⲏⲗⲁⲧⲏⲥ,μντστρατηλατησ,,,loanword_only
ⲑⲩⲣⲁⲡⲉⲩⲉ,θυραπευε,,,loanword_only
ⲁⲅⲓⲟⲩ,αγιου,,,loanword_only
ⲡⲉⲓⲣⲁⲥⲙⲟⲥ,πειρασμοσ,,,loanword_only
ⲡⲁⲣⲣⲟⲩⲥⲓⲁ,παρρουσια,,,loanword_only
ⲗⲟⲅⲭⲓⲍⲉ,λογχιζε,,,loanword_only
ⲥⲩⲛⲁⲅⲱⲅⲏ,συναγωγη,,,loanword_only
ⲫⲁⲣⲓⲥⲥⲁⲓⲟⲥ,φαρισσαιοσ,,,loanword_only
ⲕⲁⲧⲁⲅⲁⲓⲟⲛ,καταγαιον,,,loanword_only
ⲉⲣⲕⲁⲑⲁⲣⲓⲍⲉⲓⲛ,ερκαθαριζειν,,,loanword_only
ⲡⲟⲣⲛⲉⲩⲓⲛ,πορνευιν,,,loanword_only
ⲙⲉⲧⲁⲛⲟⲓⲁ,μετανοια,,,loanword_only
ⲉⲣⲇⲓⲁⲕⲣⲓⲛⲓⲛ,ερδιακρινιν,,,loanword_only
ⲇⲓⲟⲓⲕⲉⲓ,διοικει,,,loanword_only
ⲃⲉⲣⲉⲧⲁⲣⲓⲟⲥ,βερεταριοσ,,,loanword_only
ⲉⲥⲑⲏⲧⲏⲣⲓⲟⲛ,εσθητηριον,,,loanword_only
ⲡⲛⲁⲧⲓⲕⲱⲥ,πνατικωσ,,,loanword_only
ⲙⲁⲕⲟⲩⲣⲓⲁ,μακουρια,,,loanword_only
ⲕⲧⲏⲙⲁ,κτημα,,,loanword_only
ⲑⲉⲟⲕⲧⲓⲥⲧⲟⲥ,θεοκτιστοσ,,,loanword_only
ⲡⲟⲇⲏⲣⲏ,ποδηρη,,,loanword_only
ⲭⲓⲗⲓⲁⲣⲭⲟⲥ,χιλιαρχοσ,,,loanword_only
ⲕⲱⲥⲙⲓⲕⲟⲛ,κωσμικον,,,loanword_only
ⲙⲉⲧⲁⲅⲁⲑⲟⲥ,μεταγαθοσ,,,loanword_only
ⲁⲅⲁⲁⲡⲏ,αγααπη,,,loanword_only
ⲓⲉ,ιε,,,loanword_only
ⲇⲏⲙⲏⲧⲣⲓⲟⲥ,δημητριοσ,,,loanword_only
ⲡⲉⲣⲥⲏⲥ,περσησ,,,loanword_only
ⲭⲁⲗⲇⲁⲓⲟⲥ,χαλδαιοσ,,,loanword_only
ⲃⲟⲁⲛⲏⲣⲅⲉⲥ,βοανηργεσ,,,loanword_only
ⲕⲗⲁⲇⲟⲥ,κλαδοσ,,,loanword_only
ⲙⲁⲅⲓⲁ,μαγια,,,loanword_only
ⲡⲟⲗⲗⲁⲕⲓⲥ,πολλακισ,,,loanword_only
ⲉⲣⲉⲙⲓⲁ,ερεμια,,,loanword_only
ⲡⲁⲣⲓⲅⲟⲣⲓ,παριγορι,,,loanword_only
ⲡⲗⲁⲧⲓⲁ,πλατια,,,loanword_only
ⲁⲣⲅⲟⲛ,αργον,,,loanword_only
ⲯⲩⲭⲏ,ψυχη,,,loanword_only
ⲙⲛⲧⲁⲥⲑⲉⲛⲏⲥ,μντασθενησ,,,loanword_only
ⲕⲟⲡⲣⲓⲁ,κοπρια,,,loanword_only
ⲥⲕⲉⲡⲁⲍⲉ,σκεπαζε,,,loanword_only
ⲙⲁⲣⲧⲏⲣⲓⲟⲛ,μαρτηριον,,,loanword_only
ⲡⲓⲥⲧⲏ,πιστη,,,loanword_only
ⲧⲟⲗⲙⲏⲣⲓⲁ,τολμηρια,,,loanword_only
ⲁⲛ,αν,,,loanword_only
ⲃⲉⲗⲉⲧⲁⲣⲓⲟⲥ,βελεταριοσ,,,loanword_only
ⲙⲉⲧⲭⲏⲣⲁ,μετχηρα,,,loanword_only
ⲇⲟⲗⲟⲥ,δολοσ,,,loanword_only
ⲅⲉⲛⲟⲥ,γενοσ,,,loanword_only
ⲇⲓⲁⲕⲱⲛ,διακων,,,loanword_only
ⲕⲟⲕⲕⲟⲥ,κοκκοσ,,,loanword_only
ⲁⲣⲝ,αρξ,,,loanword_only
ⲕⲁⲡⲏⲗⲟⲥ,καπηλοσ,,,loanword_only
ⲁⲫⲑⲟⲛⲓⲁ,αφθονια,,,loanword_only
ⲁⲕⲣⲓⲃⲓⲁ,ακριβια,,,loanword_only
ⲉⲝⲏⲅⲏⲥⲓⲥ,εξηγησισ,,,loanword_only
ⲉⲡⲓ,επι,,,loanword_only
ⲟⲩⲛ,ουν,,,loanword_only
ⲕⲁⲑⲉⲇⲣⲁ,καθεδρα,,,loanword_only
ⲉⲣⲉⲡⲓⲧⲓⲙⲁⲛ,ερεπιτιμαν,,,loanword_only
ⲙⲟⲛⲁⲭⲟⲥ,μοναχοσ,,,loanword_only
ⲭⲣⲏⲥⲓⲙⲟⲛ,χρησιμον,,,loanword_only
ⲁⲛⲁⲅⲕⲁⲍⲉ,αναγκαζε,,,loanword_only
ⲉⲅⲕⲣⲁⲧⲏⲥ,εγκρατησ,,,loanword_only
ⲡⲟⲗⲓⲧⲉⲩⲙⲁ,πολιτευμα,,,loanword_only
ⲁⲡⲟⲥⲧⲁⲥⲥⲉ,αποστασσε,,,loanword_only
ⲁⲛⲧⲓⲙⲓⲙⲟⲛ,αντιμιμον,,,loanword_only
ⲡⲧⲱⲙⲁ,πτωμα,,,loanword_only
ⲥⲡⲗⲁⲅⲭⲛⲟⲛ,σπλαγχνον,,,loanword_only
ⲟⲛⲟⲙⲁⲥⲓⲁ,ονομασια,,,loanword_only
ⲥⲕⲟⲡⲧⲉⲓ,σκοπτει,,,loanword_only
ⲥⲕⲁⲛⲇⲁⲗⲟⲛ,σκανδαλον,,,loanword_only
ⲉⲡⲓⲅⲣⲁⲫⲏ,επιγραφη,,,loanword_only
ⲁⲓⲛⲓⲅⲙⲁ,αινιγμα,,,loanword_only
ⲥⲁⲙⲓⲧ,σαμιτ,,,loanword_only
ⲁⲕⲣⲓⲃⲱⲥ,ακριβωσ,,,loanword_only
ⲯⲉⲩⲇⲟⲡⲣⲟⲫⲏⲧⲏⲥ,ψευδοπροφητησ,,,loanword_only
ⲡⲣⲟⲃⲟⲗⲟⲟⲩⲉ,προβολοουε,,,loanword_only
ⲅⲉⲱⲣⲅⲓⲟⲥ,γεωργιοσ,,,loanword_only
ⲁⲑⲁⲛⲁⲥⲓⲟⲥ,αθανασιοσ,,,loanword_only
ⲥⲱⲧⲏⲣⲓⲁ,σωτηρια,,,loanword_only
ⲍⲱⲟⲛ,ζωον,,,loanword_only
ⲡⲟⲣⲛⲓⲟⲛ,πορνιον,,,loanword_only
ⲉⲣⲇⲟⲕⲓⲙⲁⲍⲉⲓⲛ,ερδοκιμαζειν,,,loanword_only
ⲡⲟⲣⲛⲟⲥ,πορνοσ,,,loanword_only
ⲡⲣⲟⲫⲏⲧⲏⲥ,προφητησ,,,loanword_only
ⲥⲧⲉⲫⲁⲛⲓⲧⲏⲥ,στεφανιτησ,,,loanword_only
ⲡⲁⲣⲑⲉⲛⲓⲕⲟⲛ,παρθενικον,,,loanword_only
ⲫⲟⲣⲧⲓⲟⲛ,φορτιον,,,loanword_only
ⲡⲣⲟⲧⲉⲕⲧⲱⲣ,προτεκτωρ,,,loanword_only
ⲥⲏⲙⲁⲛⲉ,σημανε,,,loanword_only
ⲡⲣⲱⲧⲱⲛ,πρωτων,,,loanword_only
ⲥⲟⲫⲓⲁ,σοφια,,,loanword_only
ⲥⲉⲙⲛⲟⲥ,σεμνοσ,,,loanword_only
