hebrew,greek,score,hebrew_gloss,greek_gloss
עבדת,δουλεύω,1.000,servitude,servitude
תהלכת,πομπή,1.000,procession,escort
גאלים,μίασμα,1.000,defilement,defilement
קורא,κόρις,1.000,Kore,kore
מפשעה,ὕστερος,1.000,posterior,late
פנה,ὄμμα,0.500,face,face
פנה,πρόσωπον,0.500,face,countenance
ניב,καρπός,0.500,fruit,crop
פרי,καρπός,0.500,fruit,crop
תליתי,τρίτος,0.500,third,third time
שלישי,τρίτος,0.500,third,third time
שנה,ἐνιαυτός,0.500,year,annual
שנה,ἔτος,0.500,year,year
כוכב,ἄστρον,0.500,star,star
כוכב,ἀστήρ,0.500,star,star
גבי,σμῆνος,0.500,swarm,swarm
שרץ,σμῆνος,0.500,swarm,swarm
חי,ζωός,0.500,alive,alive
חי,ζάω,0.500,alive,alive
דג,ἰχθύς,0.500,fish,fish
דגה,ἰχθύς,0.500,fish,fish
זכור,ἄρσην,0.500,male,male
זכר,ἄρσην,0.500,male,male
יצר,μορφή,0.500,shape,shape
יצר,σχῆμα,0.500,shape,attitude
אפר,κόνις,0.500,dust,dust
עפר,κόνις,0.500,dust,dust
נשמה,πνεῦμα,0.500,breath,breath
נשמה,πνοή,0.500,breath,blast
נטע,φυτεύω,0.500,plant,plant
נטע,φυτός,0.500,plant,plant
גנה,κῆπος,0.500,garden,garden
גן,κῆπος,0.500,garden,garden
מראה,ὄψις,0.500,sight,presence
מראה,θέαμα,0.500,sight,sight
רע,κακός,0.500,evil,wrong
רע,πονηρός,0.500,evil,evil
בד,μοῖρα,0.500,"linen, part, stave",part
בד,μέρος,0.500,"linen, part, stave",turn
נפל,ἐμπίπτω,0.500,fall,fall upon
נפל,πίπτω,0.500,fall,fall
גרם,ὀστέον,0.500,bone,bone
עצם,ὀστέον,0.500,bone,bone
אב,πατήρ,0.500,father,father
אב,πατρῷος,0.500,father,father
ערום,γυμνός,0.500,naked,nude
עירם,γυμνός,0.500,naked,nude
זעה,ἱδρώς,0.500,sweat,sweat
יזע,ἱδρώς,0.500,sweat,sweat
לחם,ἄρτος,0.500,bread,bread
לחם,σῖτος,0.500,bread,meat
לבש,ἐσθής,0.500,clothe,raiment
לבש,ἱμάτιον,0.500,clothe,coat
אח,ἀδελφός,0.500,brother,brethren
אח,κασίγνητος,0.500,brother,own brother
קום,ἀνίστημι,0.500,arise,rose up
קום,ὄρνυμι,0.500,arise,arise
דם,αἷμα,0.500,blood,blood
דם,φόνος,0.500,blood,death
פה,στόμα,0.500,mouth,lip
פם,στόμα,0.500,mouth,lip
תזז,τύπτω,0.500,strike,strike
נכה,τύπτω,0.500,strike,strike
אהל,κλισία,0.500,tent,tent
אהל,σκηνή,0.500,tent,tabernacle
חרש,ἀρόω,0.500,clay,plough
חרש,ἄροτρον,0.500,clay,plough
אחות,κασιγνήτη,0.500,sister,sister
אחות,ἀδελφή,0.500,sister,sister
אזן,ἀκούω,0.500,listen,listen
אזן,ἀκροάομαι,0.500,listen,listen
תלת,τρεῖς,0.500,three,three
שלש,τρεῖς,0.500,three,three
עשר,δέκα,0.500,become rich,ten
עשור,δέκα,0.500,a ten,ten
עשרין,εἴκοσι,0.500,twenty,twenty -
עשרים,εἴκοσι,0.500,twenty,twenty -
רב,τοσοῦτος,0.500,much,much
רב,πολύς,0.500,much,great
תמים,τέλειος,0.500,complete,most perfect
תמים,τελειόω,0.500,complete,complete
דור,γένεσις,0.500,generation,birth
דור,γενεά,0.500,generation,lineage
ארון,κιβωτός,0.500,ark,ark
תבה,κιβωτός,0.500,ark,ark
אמה,πῆχυς,0.500,cubit,cubits long
גמד,πῆχυς,0.500,cubit,cubits long
ארך,μῆκος,0.500,length,its length
ארכה,μῆκος,0.500,length,its length
רחב,πλάτος,0.500,breadth,breadth
רחב,εὖρος,0.500,breadth,wide
מעל,ἄκρος,0.500,top,height
מעל,κορυφή,0.500,top,top
בקע,σχίζω,0.500,split,split
פצם,σχίζω,0.500,split,split
גבה,ὑψηλός,0.500,high,lofty
גבה,μέγας,0.500,high,high
עבר,παρέρχομαι,0.500,pass,passed by
עבר,τελέω,0.500,pass,pay
שכך,καταβαίνω,0.500,weave,down
גלש,καταβαίνω,0.500,go down,down
עשירי,δέκατος,0.500,tenth,tenth
מעשר,δέκατος,0.500,tenth,tenth
חלון,θυρίς,0.500,window,window
אשנב,θυρίς,0.500,window,window
זית,ἐλαία,0.500,olive,olive trees
גרגר,ἐλαία,0.500,olive,olive trees
משפחת,φράτηρ,0.500,clan,clan
משפחה,φράτηρ,0.500,clan,clan
מדבח,βωμός,0.500,altar,altar
מזבח,βωμός,0.500,altar,altar
קר,ψυχρός,0.500,cold,frigid
קר,ψῦχος,0.500,cold,cold
קיט,θέρος,0.500,summer,in summer
קיץ,θέρος,0.500,summer,in summer
קשט,τόξον,0.500,bow,arrow
קשת,τόξον,0.500,bow,arrow
תירוש,οἶνος,0.500,wine,wine
יין,οἶνος,0.500,wine,wine
שכם,ὦμος,0.500,shoulder,shoulder
כתף,ὦμος,0.500,shoulder,shoulder
מצרים,αἰγύπτιος,0.500,Egypt,egypt
מצרים,αἴγυπτος,0.500,Egypt,egyptian
גבול,ὅρος,0.500,boundary,frontier
גבולה,ὅρος,0.500,boundary,frontier
שפה,στόμα,0.500,sweep bare,lip
שפה,χεῖλος,0.500,sweep bare,rim
לבנה,πλίνθος,0.500,brick,burnt brick
מלבן,πλίνθος,0.500,brick,burnt brick
זמם,μερμηρίζω,0.500,ponder,ponder
זמם,ὁρμαίνω,0.500,ponder,ponder
יפה,δῖος,0.500,beautiful,beautiful
יפה,καλός,0.500,beautiful,proper
מצרי,αἰγύπτιος,0.500,Egyptian,egypt
מצרי,αἴγυπτος,0.500,Egyptian,egyptian
גלל,ὕλη,0.500,matter,hyle
גלל,πρᾶγμα,0.500,matter,case
מלח,ἁλμυρός,0.500,salt,salty
מלח,ἅλς,0.500,salt,sea
שוה,δῆλος,0.500,plain,plain
שוה,πεδίον,0.500,plain,plain
נוס,φεύγω,0.500,flee,fly
נדד,φεύγω,0.500,flee,fly
כהן,ἀρχιερεύς,0.500,priest,priest
כהן,ἱερεύς,0.500,priest,priest
עליון,ἄνω,0.500,upper,inland
עלי,ἄνω,0.500,upper,inland
חוט,λίνον,0.500,thread,thread
חוט,κρόκη,0.500,thread,thread
נעל,ὑπόδημα,0.500,sandal,sandal
נעל,πέδιλον,0.500,sandal,bound fair sandals
ערירי,ἄπαις,0.500,childless,died without issue
ערירי,ἄτεκνος,0.500,childless,childless
שלום,ἡσυχία,0.500,peace,peace
שלום,εἰρήνη,0.500,peace,peace
לפיד,δαίς,0.500,torch,lighted torches
לפיד,λαμπάς,0.500,torch,lamp
אולי,ἴσος,0.500,perhaps,equality
אולי,τάχα,0.500,perhaps,soon
אן,ποι,0.500,whither,whither
אן,ὅποι,0.500,whither,whithersoever
הלם,δεῦρο,0.500,hither,come here
הלם,ἐνθάδε,0.500,hither,hither
מול,περιτέμνω,0.500,circumcise,circumcise
מלל,περιτέμνω,0.500,circumcise,circumcise
קמח,ἄλφιτον,0.500,flour,flour
קמח,ἄλευρον,0.500,flour,flour
רך,ἁπαλός,0.500,tender,tender
רך,τέρην,0.500,tender,tender
וזר,ἀδικέω,0.500,guilty,harm
רשע,ἀδικέω,0.500,guilty,harm
איתי,οὐσία,0.500,existence,wealth
יש,οὐσία,0.500,existence,wealth
שער,θύρα,0.500,hair,gate
שער,πύλη,0.500,hair,door
נביא,μάντις,0.500,prophet,prophet
נביא,προφήτης,0.500,prophet,prophet
תעה,ἁμαρτάνω,0.500,err,fault
שגה,ἁμαρτάνω,0.500,be great,fault
רחם,κοιλία,0.500,womb,stomach
רחם,νηδύς,0.500,womb,womb
פקד,διαμαρτάνω,0.500,miss,miss
פקד,ἁμαρτάνω,0.500,miss,fault
זקנה,γῆρας,0.500,old age,age
זקנים,γῆρας,0.500,old age,age
סבך,θάμνος,0.500,thicket,thicket
סבך,λόχμη,0.500,thicket,thicket
קרן,κέρας,0.500,horn,column
שופר,κέρας,0.500,horn,column
פלגש,παλλακίς,0.500,concubine,concubine
פלגש,παλλακή,0.500,concubine,concubine
ספד,γόος,0.500,lament,lamentation
יבב,γόος,0.500,lament,lamentation
שקל,σίγλος,0.500,shekel,shekel
תקל,σίγλος,0.500,shekel,shekel
שבועה,ὄμνυμι,0.500,oath,oath
שבועה,ὅρκος,0.500,oath,oath
