nt_book,nt_chap,nt_verse,lxx_chap,lxx_verse,votes,nt_v6_ref,lxx_v6_ref
Heb,1,12,101,27,28,novum_testamentum.ad_hebraeos.1.12,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.101.27
Heb,13,15,49,14,27,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.49.14
Heb,11,6,105,21,25,novum_testamentum.ad_hebraeos.11.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.105.21
Heb,11,6,105,22,25,novum_testamentum.ad_hebraeos.11.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.105.22
Heb,11,6,77,32,25,novum_testamentum.ad_hebraeos.11.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.77.32
Heb,2,7,8,5,23,novum_testamentum.ad_hebraeos.2.7,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.8.5
Heb,12,6,118,75,23,novum_testamentum.ad_hebraeos.12.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.118.75
Heb,12,11,117,18,23,novum_testamentum.ad_hebraeos.12.11,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.117.18
Heb,4,3,94,11,22,novum_testamentum.ad_hebraeos.4.3,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.94.11
Heb,5,6,109,4,22,novum_testamentum.ad_hebraeos.5.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.109.4
Heb,11,6,57,11,22,novum_testamentum.ad_hebraeos.11.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.57.11
Heb,4,13,43,21,21,novum_testamentum.ad_hebraeos.4.13,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.43.21
Heb,5,5,2,7,21,novum_testamentum.ad_hebraeos.5.5,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.2.7
Heb,7,21,109,4,21,novum_testamentum.ad_hebraeos.7.21,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.109.4
Heb,11,6,105,24,21,novum_testamentum.ad_hebraeos.11.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.105.24
Heb,11,6,77,22,21,novum_testamentum.ad_hebraeos.11.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.77.22
Heb,12,5,93,12,21,novum_testamentum.ad_hebraeos.12.5,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.93.12
Heb,12,14,33,14,21,novum_testamentum.ad_hebraeos.12.14,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.33.14
Heb,1,6,96,7,20,novum_testamentum.ad_hebraeos.1.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.96.7
