# Tesserae V6 Hebrew-Latin Cross-Lingual Dictionary
# Built by bridging hebrew_greek.csv (He->Grc, CATSS-derived) through
# greek_latin + perseus_greek_latin (Grc->La). Format: hebrew,latin (one pair/line).
# Purpose: Hebrew Bible <-> Latin Vulgate (and wider Latin corpus) cross-lingual search.
אנס,necessarius
אנפ,vultus
אנפ,facies
אנפ,os
אנפ,ora
אנפו,vultus
אנפו,facies
אנפו,os
אנפו,ora
אנש,heros
אנש,vir
אנש,maritus
אנש,humanus
אנש,populus
אנש,qui
אנש,iste
אנש,orbis
אנש,plebs
אנש,mundum
אנשי,heros
אנשי,vir
אנשי,maritus
אנשי,populus
אנשי,qui
אנשי,humanus
אנשי,iste
אנשי,orbis
אנשי,plebs
אנשי,mundum
אנשימ,heros
אנשימ,vir
אנשימ,maritus
אנשימ,populus
אנשימ,qui
אנשימ,humanus
אנשימ,iste
אנשימ,orbis
אנשימ,plebs
אנשימ,mundum
אסור,vinculum
אסור,catena
אספ,accedo
אספ,adicio
אספ,adiungo
אספ,congrego
אספ,simul
אספו,congrego
אספו,simul
אספסף,labrusca
אסתר,celo
אסתר,abscondo
אסתר,occulo
אע,ligneus
אע,silua
אע,lignum
אע,tignum
אע,materia
אע,silva
אע,nemus
אע,lucus
אעבד,seruus
אעבד,seruitus
אעלה,ascendo
אעלה,mons
אעשה,pereo
אעשה,perdo
אעשה,amitto
אעשה,mors
אעשה,deleo
אעשה,intereo
אעשה,ruina
אעשה,disperdo
אעשה,interfacio
אעשה,morior
אעשה,exitium
אפ,animus
אפ,spiritus
אפ,furor
אפ,ira
אפ,cor
אפ,pectus
אפ,amor
אפ,mens
אפ,libido
אפ,iracundia
אפ,vultus
אפ,facies
אפ,os
אפ,ora
אפיל,nuper
אפיל,nouissimus
אפיל,denique
אפיל,extremus
אפימ,vultus
אפימ,facies
אפימ,os
אפימ,ora
אפיקי,fons
אפיקי,scatebra
אפל,tenebrae
אפל,caligo
אפל,obscuritas
אפלה,cado
אפלה,concido
אפלה,ruo
אפלה,incido
אפלה,ruina
אפלה,tenebrae
אפלה,caligo
אפלה,obscuritas
אפעה,draco
אפעה,serpens
אפעה,anguis
אפעה,coluber
אפר,puluis
אפר,cinis
אפתח,pateo
אציל,optimus
אציל,praestans
אציל,fortissimus
אציל,fortis
אציל,nobilis
אציל,bonus
אציל,pulcher
אציל,formosus
אציל,speciosus
אצל,habeo
אצל,teneo
אצל,possideo
אצרות,aerarius
אצרת,aerarius
אקבצ,congrego
אקבצ,simul
אקברה,sepelio
אקברה,condo
אקברה,funus
אקוה,fero
אקוה,patior
אקח,capio
אקח,sumo
אקח,accipio
אקח,recipio
אקח,impetro
אקח,excipio
אקימ,sisto
אקימ,sto
אקימ,constituo
אקימ,erigo
אקרא,clamo
אקרא,vociferor
אקרא,exclamo
אקרא,appello
אקרא,nomino
אקרא,nomen
אקרא,inuito
אקרע,capio
אקרע,sumo
אקרע,accipio
אקרע,recipio
אקרע,impetro
אקרע,excipio
ארא,indico
ארא,probo
ארא,video
ארא,cerno
ארא,conspicio
ארא,aspicio
ארא,animaduerto
ארא,obseruo
אראה,ecce
אראה,video
אראה,cerno
אראה,conspicio
אראה,aspicio
אראה,animaduerto
אראה,obseruo
ארב,hostis
ארב,inimicus
ארב,infestus
ארבע,uicesimus
ארבע,centum
ארבע,quadraginta
ארבעה,decem
ארבעה,uicesimus
ארבעה,quadraginta
ארבעימ,quinquaginta
ארבעימ,quindecim
ארבעת,quadraginta
ארגון,purpureus
ארגונ,purpureus
ארגמנ,purpureus
ארד,descendo
ארו,ecce
ארוז,profundum
ארוז,alo
ארח,iter
ארח,semita
ארח,via
ארח,modus
ארחות,via
ארחות,iter
ארחות,semita
ארחות,modus
ארחת,via
ארחת,iter
ארחת,semita
ארחת,modus
ארי,leo
אריה,leo
אריות,leo
ארכבה,genu
ארנבת,lepor
ארננ,agnos
ארננ,agnus
ארע,terra
ארע,tellus
ארע,solum
ארע,ager
ארע,humus
ארע,finis
ארע,regio
ארץ,terra
ארץ,tellus
ארץ,solum
ארץ,ager
ארץ,humus
ארץ,finis
ארץ,regio
ארצ,aegyptus
ארצ,aegyptius
ארצ,ipse
ארצ,regio
ארצ,terra
ארצ,locus
ארצ,ager
ארצות,regio
ארצות,terra
ארצות,locus
ארצות,ager
ארצת,regio
ארצת,terra
ארצת,locus
ארצת,ager
ארק,terra
ארק,tellus
ארק,solum
ארק,ager
ארק,humus
ארק,finis
ארק,regio
ארר,ergo
ארר,igitur
ארר,maledictio
אש,ignis
אש,flamma
אשא,capio
אשא,sumo
אשא,accipio
אשא,recipio
אשא,impetro
אשא,excipio
אשא,ignis
אשא,flamma
אשא,anima
אשא,spiritus
אשאל,rogo
אשאל,interrogo
אשאל,quaero
אשאל,peto
אשאל,postulo
אשבע,iuro
אשבע,adiuro
